IdExtraccion|Tema|NombreExtraccion|IdExtraccionMaestra|IndRegulatorio|DatoObligatorio|PLDataFactory|ValorDeltaInicial|ValorDeltaFinal|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado
746|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Reservas_Energia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Reservas_Energia|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:02:08.473Z|Finalizado
747|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Reservas_Porcentaje||true|true|PL_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Reservas_Porcentaje|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:50.450Z|Finalizado
748|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Costos_Marginales||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Costos_Marginales|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:57.917Z|Finalizado
749|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Generacion||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Generacion|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:02:02.253Z|Finalizado
750|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Vertimientos||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Vertimientos|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:43.037Z|Finalizado
751|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Deficit||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Deficit|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:01:51.550Z|Finalizado
752|InformacionOperativaPeriodicaSIN|10_Panorama_Energetico_Largo_Plazo_Consumo_Combustible||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_Panorama_Energetico_Largo_Plazo_Consumo_Combustible|2024-09-01|2024-09-30||Deltas OK!|Finalizado|||2024-08-15T17:02:11.443Z|Finalizado
754|InformacionGeneralSIN|9_1_RetiroPlantas||true|true|PL_SIMEM_InformacionGeneralSIN_9_1_RetiroPlantas|2024-09-02|2024-09-02||Deltas OK!|Finalizado|||2024-09-01T17:12:56.897Z|Finalizado
755|InformacionOperativaPeriodicaSIN|10_AportesHidraulicos||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_AportesHidraulicos|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:02.980Z|Finalizado
756|InformacionOperativaPeriodicaSIN|10_AportesHidraulicosEnergia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_AportesHidraulicosEnergia|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:02:47.373Z|Finalizado
757|InformacionOperativaPeriodicaSIN|10_AportesHidraulicosPorcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_AportesHidraulicosPorcentaje|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:40.217Z|Finalizado
758|InformacionOperativaPeriodicaSIN|10_EvolucionEmbalses||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_EvolucionEmbalses|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:46.567Z|Finalizado
759|InformacionOperativaPeriodicaSIN|10_EvolucionEmbalsesEnergia||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_EvolucionEmbalsesEnergia|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:04:15.713Z|Finalizado
760|InformacionOperativaPeriodicaSIN|10_EvolucionEmbalsesPorcentaje||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_EvolucionEmbalsesPorcentaje|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:04:19.933Z|Finalizado
761|InformacionOperativaPeriodicaSIN|10_VolumenTurbinado||true|true|PL_SIMEM_InformacionOperativaPeriodicaSIN_10_VolumenTurbinado|2024-09-01|2024-09-01||Deltas OK!|Finalizado|||2024-09-01T07:03:18.480Z|Finalizado
