IdExtraccion|NombreExtraccion|IdConfiguracionGeneracionArchivos|Tema|NombreArchivoDestino|IdGeneracionArchivoMaestra|IndRegulatorio|DatoObligatorio|NBSynapse|ValorDeltaInicial|ValorDeltaFinal|FechaDeltaInicial|FechaDeltaFinal|PLSynapse|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado|EstadoDeltasXM
494|10_Pruebas_Generacion_CP|F577E244-04C6-49C7-AFB7-DF22F4AFC017|InformacionOperativaPeriodicaSIN|PruebasGeneracion||true|true|NB_InformacionOperativaPeriodicaSIN_10_Pruebas_Generacion_CP|2024-09-02|2024-09-08|2024-09-02T00:00:00.000Z|2024-09-08T00:00:00.000Z|||Problemas con deltas, se tienen 2024-09-02 y 2024-09-08, deberian ser 2024-09-09 y 2024-09-15 respectivamente.|Error|Pipeline - Fallo ejecucion del NoteBook (Error en pipeline) -||2024-09-01T20:04:25.240Z|Fallido|Deltas OK!
736|10_Panorama_Energetico_Mediano_Plazo_Deficit|F63B8B8B-0518-43CC-8ED3-FEFE47B1ED96|InformacionOperativaPeriodicaSIN|DeficitMedianoPlazo||true|true|NB_InformacionOperativaPeriodicaSIN_DeficitMedianoPlazo|2024-08-26|2026-08-24|2024-08-26T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Problemas con deltas, se tienen 2024-08-26 y 2024-09-01, deberian ser 2024-09-02 y 2024-09-08 respectivamente.|Error|Pipeline - Fallo ejecucion del NoteBook (Error en pipeline) -||2024-09-01T19:08:50.883Z|Fallido|Deltas OK!
810|9_ListadoSubestacion|F99E13DE-7E81-4634-BAA3-B7B394881831|InformacionGeneralSIN|9_ListadoSubestacion||true|true|nb_general_simple|2024-09-01|2024-09-01|2024-09-01T00:00:00.000Z|2024-09-01T00:00:00.000Z|||Deltas OK!|Error|"Guardado - Error de valor - No se pudo crear la vista para el dataset 9_ListadoSubestacion, Error: ('42000', \"[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near '.9'. (102) (SQLExecDirectW)\")"||2024-09-01T07:07:37.433Z|Fallido|Deltas OK!
206|Multifuente_27_29_31|F9D42A43-E412-4777-89D3-AE76AF8BCDCD|EstadisticasCttos|PreciosHorariosFuturosDeContratosComerGeneNR||true|true|NB_EstadisticasCttos_PreciosHorariosFuturosDeContratosComerGeneNR|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-02T08:06:18.203Z|Finalizado|Deltas OK!
182|27_29_31_TablaMaestraInformacionCttosLiquidada|FBFAFD76-C682-4A46-8A3E-7457671749F4|EstadisticasCttos|PreciosMensualesContratosComercializadorNR||true|true|NB_EstadisticasCttos_PreciosMensualesContratosComercializadorNR|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-05T06:09:18.203Z|Finalizado|Deltas OK!
619|10_Estudio_EDAC|FE1A5468-1833-42B3-A440-BB1CD5299784|InformacionOperativaPeriodicaSIN|Estudio_EDAC||true|true|NB_InformacionOperativaPeriodicaSIN_Estudio_EDAC|2025-01-01|2025-12-31|2025-01-01T00:00:00.000Z|2025-12-31T00:00:00.000Z|||Deltas OK!|||||Sin procesar|Deltas OK!
316|10_DespachoProgramadoRecursos|FF027B64-9896-4844-B827-9DC05F690668|InformacionOperativaPeriodicaSIN|DespachoProgramadoRecursosGeneracion||true|true|nb_general_simple|2024-09-02|2024-09-02|2024-09-02T00:00:00.000Z|2024-09-02T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-09-01T16:07:25.850Z|Finalizado|Deltas OK!
478|Multifuente_25_PreciosUNR|05F977DE-7425-4EBB-859F-F9DB0B4A0569|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosHorariosUNRMC||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:54.150Z|Finalizado|Deltas OK!
477|Multifuente_25_CantidadesUNR|05F977DE-7425-4EBB-859F-F9DB0B4A0569|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosHorariosUNRMC||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:54.150Z|Finalizado|Deltas OK!
477|Multifuente_25_CantidadesUNR|06BB499A-23EA-4159-BC6C-565A2D9412D3|InfoPreciosyCantidadesMercadoNoRegulado|CantidadesUNRTotalSIN||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_CantidadesUNRTotalSIN|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:53.077Z|Finalizado|Deltas OK!
898|Multifuente_38_ReporteContratosLP|230A9D74-78DB-4236-866A-FBDC43219A61|RegistroContratos|38_IncumplimientosContratosLPMensual||true|true|NB_RegistroContratos_38_IncumplimientosContratosLPMensual|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Error|"Guardado - Error de valor - No se pudo crear la vista para el dataset 38_IncumplimientosContratosLPMensual, Error: ('42000', \"[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near '.38'. (102) (SQLExecDirectW)\")"||2024-08-08T17:48:29.127Z|Fallido|Problemas con deltas, se tienen 2024-06-01 y 2024-06-30, deberian ser 2024-09-01 y 2024-09-30 respectivamente.
478|Multifuente_25_PreciosUNR|30A82730-32E0-4DB6-BF38-8118E7B0C1BA|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosUNRTotalSIN||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.423Z|Finalizado|Deltas OK!
477|Multifuente_25_CantidadesUNR|30A82730-32E0-4DB6-BF38-8118E7B0C1BA|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosUNRTotalSIN||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.423Z|Finalizado|Deltas OK!
643|35_ReportesAnualesSobreCostosYPreciosMEM|531BA34F-2533-4B4F-9E98-5331DA5EB2A4|ReporteAnualCostosPreciosdelMEM|ReportesAnualesSobreCostosPreciosMEM||true|true|nb_general_simple|2023-01-01|2023-12-31|2023-01-01T00:00:00.000Z|2023-12-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-05-21T14:08:55.917Z|Finalizado|Deltas OK!
